"figure_id","panel_id","panel_content","claim_id","frozen_artifact","evidence_sha256","permitted_wording","prohibited_extrapolation"
"Figure 1","a","Fixed-time spatial-defect definition","FORM-P01","00_project_contract/ddo_project_charter.md;02_defect_definitions/spatial_defect_definition.md","73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;f986d2e8adbfa5ee65d2c06dff7c3b372f23bcfe075646a009347de07902ab8e","Use the frozen fixed-time defect equation and positive-additive sign convention.","Do not include time-integration, next-state, rollout, or division-by-dt error in the target."
"Figure 1","b","Observable/reference firewall","FORM-P03","00_project_contract/ddo_project_charter.md;data/identifiability/ddo01e_firewall_audit.json;data/ddo02b_identifiability/ddo02b_observable_feature_schema.json","73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;5e32db365620c8d8d621d3ccabc502aaffe1f83bda542e533541daf235e20d8b;3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5","State the strict separation of deployable inputs and reference targets.","Do not equate reference-free with deployment-observable or imply that manufactured metadata is automatically deployable."
"Figure 1","c","H1-H6 qualification hierarchy","FORM-P04","00_project_contract/ddo_project_charter.md;publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json","73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a","Use the exact final status vocabulary.","Do not collapse NOT_QUALIFIED or NOT_AUTHORIZED into FAIL."
"Figure 1","d","Tested stopping logic and downstream prerequisite states","CONC-P03","publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json","694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a","State the exact terminal and authorization vocabulary.","Do not state that H4, H5, H6, neural SPH, GNNs, or Transformers failed."
"Figure 2","a","H1 separation ratios and lower bounds","SIGNAL-P01","06_manifests/ddo01br_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875","State the frozen H1 thresholds and unexcited-case rule.","Do not redefine H1 using average target magnitude or include unexcited zeros."
"Figure 2","a","Componentwise H1 qualified results","SIGNAL-P02","06_manifests/ddo01br_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875","Report componentwise H1 PASS and the frozen numerical range.","Do not infer scaling, identifiability, learnability, or deployment performance from H1."
"Figure 2","b","Density-rate regular and disorder scaling scope","SCALE-P02","06_manifests/ddo01cr_manifest.json","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Restrict density-rate scaling to the frozen F1 and canonical-support scope.","Do not extrapolate to all disorder types, support ratios, boundaries, or H3 identifiability."
"Figure 2","b","Pressure viscosity and total regular-only scaling scope","SCALE-P03","06_manifests/ddo01cr_manifest.json","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Use regular-scope-only wording for pressure, viscosity, and total acceleration.","Do not claim disorder-robust momentum scaling or a common component exponent."
"Figure 2","b","Interpolation-density scaling outcome","SCALE-P04","06_manifests/ddo01cr_manifest.json;publication/final_hypothesis_ledger.csv","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743","State interpolation H2 failure and the componentwise H2 conclusion.","Do not infer that interpolation H2 failure forces H3 failure in another component."
"Figure 2","c","Density-rate refinement tracks","SCALE-P02","06_manifests/ddo01cr_manifest.json","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Restrict density-rate scaling to the frozen F1 and canonical-support scope.","Do not extrapolate to all disorder types, support ratios, boundaries, or H3 identifiability."
"Figure 2","d","Momentum-component disorder breakdown","SCALE-P03","06_manifests/ddo01cr_manifest.json","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Use regular-scope-only wording for pressure, viscosity, and total acceleration.","Do not claim disorder-robust momentum scaling or a common component exponent."
"Figure 3","a","Balanced four-family development atlas","ATLAS-P01","06_manifests/ddo01d_manifest.json;07_reports/ddo01d_atlas_report.md","aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c","State the prospective registry and exact balance.","Do not imply that the atlas itself evaluated H3 or constituted a sealed test."
"Figure 3","b","Field-lineage folds and formal sample construction","ID-P02","data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_firewall_audit.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;5e32db365620c8d8d621d3ccabc502aaffe1f83bda542e533541daf235e20d8b","State sample count, lineage isolation, and train-only preprocessing.","Do not describe the development evidence as fresh DDO-02B evidence."
"Figure 3","c","Operational ambiguity diagnostic concept","ID-P01","data/identifiability/ddo01e_metrics.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb","Describe the preregistered H3 diagnostic classes without presenting them as production models.","Do not call kNN, ridge, or polynomial ridge trained correction architectures."
"Figure 3","d","Initial componentwise all-gates summary","ID-P03","data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e","Report the componentwise all-gates verdict.","Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability."
"Figure 4","a","Initial nearest-neighbour disagreement median and tail","ID-P03","data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e","Report the componentwise all-gates verdict.","Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability."
"Figure 4","b","Initial conditional variance and oracle error","ID-P03","data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e","Report the componentwise all-gates verdict.","Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability."
"Figure 4","c","Initial field-family robustness","ID-P03","data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e","Report the componentwise all-gates verdict.","Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability."
"Figure 4","d","Consistency-descriptor ablation on development evidence","REDESIGN-P01","data/ddo02a/attribution_metrics.json","f2dca85e6c0e1db38aed3f32eca90a12375bc60af21a8dd544acc07b2d4c1a10","Use the diagnostic statuses only to motivate prospective testing.","Do not present DDO-02A reductions as a new H3 PASS."
"Figure 5","a","Consumed development evidence and redesign hypotheses","REDESIGN-P01","data/ddo02a/attribution_metrics.json","f2dca85e6c0e1db38aed3f32eca90a12375bc60af21a8dd544acc07b2d4c1a10","Use the diagnostic statuses only to motivate prospective testing.","Do not present DDO-02A reductions as a new H3 PASS."
"Figure 5","a","Exclusion of design-only fields","REDESIGN-P02","data/ddo02a/deployment_observability_ledger.csv;06_manifests/ca06_manifest.json","d2b80a2ae350e62afbcac7e1a6e037915ccd78240461548c3dd931fac5dd298b;9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f","Name the four prohibited design-only fields and their exclusion.","Do not assume that any reference-free field is deployment-observable."
"Figure 5","a","Prospective 30-descriptor freeze","REDESIGN-P03","06_manifests/ca06_manifest.json;06_manifests/ca06_descriptor_dictionary.json;publication/literature/citation_claim_map.csv","9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f;591a9826b7560b5a8865b3b4b7d540efd7791deeba80cff9751e357b3908c262;ee11699c64ce05fe80719f01baf494d672d892f8b45dbe5c107fe3e769ce388c","Describe the exact frozen descriptor groups and freeze order.","Do not claim that an equivariant GNN was implemented or tested."
"Figure 5","a","Fresh-case construction and zero lineage overlap","REQUAL-P01","06_manifests/ddo02b_case_registry.json;data/ddo02b_identifiability/ddo02b_metrics.json","5588bcc92c0db124481187c17c1e313ef308cddfc75968f152107a4abb1264b4;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582","State exact case balance, sample count, and zero lineage overlap.","Do not reuse the 512 development cases as fresh formal evidence."
"Figure 5","b","Fresh formal H3 population","REQUAL-P01","06_manifests/ddo02b_case_registry.json;data/ddo02b_identifiability/ddo02b_metrics.json","5588bcc92c0db124481187c17c1e313ef308cddfc75968f152107a4abb1264b4;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582","State exact case balance, sample count, and zero lineage overlap.","Do not reuse the 512 development cases as fresh formal evidence."
