claim,hypothesis,component,evidence_stage,development_fresh_status,metric,threshold,result,claim_scope,prohibited_extrapolation,source_artifact,sha256
interpolation density defect signal is resolved above qualified uncertainty,H1,interpolation_density,DDO-01B-R,FRESH_H1_EVIDENCE,R_c; bootstrap L95_c,R_c >= 10; L95_c > 5,R_c=2.455192e+11; L95_c=2.283679e+11; PASS,frozen excited-case F1 scope,"does not establish scaling, identifiability, or learnability",06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
density rate defect signal is resolved above qualified uncertainty,H1,density_rate,DDO-01B-R,FRESH_H1_EVIDENCE,R_c; bootstrap L95_c,R_c >= 10; L95_c > 5,R_c=1.614985e+12; L95_c=9.177052e+11; PASS,frozen excited-case F1 scope,"does not establish scaling, identifiability, or learnability",06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
pressure gradient defect signal is resolved above qualified uncertainty,H1,pressure_gradient_acceleration,DDO-01B-R,FRESH_H1_EVIDENCE,R_c; bootstrap L95_c,R_c >= 10; L95_c > 5,R_c=2.193704e+12; L95_c=1.642658e+12; PASS,frozen excited-case F1 scope,"does not establish scaling, identifiability, or learnability",06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
viscosity Laplacian defect signal is resolved above qualified uncertainty,H1,viscosity_laplacian_acceleration,DDO-01B-R,FRESH_H1_EVIDENCE,R_c; bootstrap L95_c,R_c >= 10; L95_c > 5,R_c=1.405277e+12; L95_c=1.170251e+12; PASS,frozen excited-case F1 scope,"does not establish scaling, identifiability, or learnability",06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
total acceleration defect signal is resolved above qualified uncertainty,H1,total_acceleration,DDO-01B-R,FRESH_H1_EVIDENCE,R_c; bootstrap L95_c,R_c >= 10; L95_c > 5,R_c=1.266568e+12; L95_c=7.910277e+11; PASS,frozen excited-case F1 scope,"does not establish scaling, identifiability, or learnability",06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
interpolation density has the stated componentwise scaling scope,H2,interpolation_density,DDO-01C-R,FRESH_H2_EVIDENCE,regular and jitter family gates,M_family >= 0.75 and C-D > 0 on mandatory tracks,H2_SCALING_FAIL_REGULAR_SCOPE,"F1, canonical formal h/dx=4 and stated disorder scope","no fitted convergence order, H3 conclusion, or extrapolation beyond sampled scope",06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
density rate has the stated componentwise scaling scope,H2,density_rate,DDO-01C-R,FRESH_H2_EVIDENCE,regular and jitter family gates,M_family >= 0.75 and C-D > 0 on mandatory tracks,H2_SIGNAL_SCALING_PASS_CANONICAL_SUPPORT,"F1, canonical formal h/dx=4 and stated disorder scope","no fitted convergence order, H3 conclusion, or extrapolation beyond sampled scope",06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
pressure gradient has the stated componentwise scaling scope,H2,pressure_gradient_acceleration,DDO-01C-R,FRESH_H2_EVIDENCE,regular and jitter family gates,M_family >= 0.75 and C-D > 0 on mandatory tracks,H2_SCALING_PASS_REGULAR_SCOPE_ONLY,"F1, canonical formal h/dx=4 and stated disorder scope","no fitted convergence order, H3 conclusion, or extrapolation beyond sampled scope",06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
viscosity Laplacian has the stated componentwise scaling scope,H2,viscosity_laplacian_acceleration,DDO-01C-R,FRESH_H2_EVIDENCE,regular and jitter family gates,M_family >= 0.75 and C-D > 0 on mandatory tracks,H2_SCALING_PASS_REGULAR_SCOPE_ONLY,"F1, canonical formal h/dx=4 and stated disorder scope","no fitted convergence order, H3 conclusion, or extrapolation beyond sampled scope",06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
total acceleration has the stated componentwise scaling scope,H2,total_acceleration,DDO-01C-R,FRESH_H2_EVIDENCE,regular and jitter family gates,M_family >= 0.75 and C-D > 0 on mandatory tracks,H2_SCALING_PASS_REGULAR_SCOPE_ONLY,"F1, canonical formal h/dx=4 and stated disorder scope","no fitted convergence order, H3 conclusion, or extrapolation beyond sampled scope",06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
