reference_id,in_text_citation,title,publication_status,primary_url,manuscript_sections,exact_supported_use,prohibited_use,verification_status
R06,"Amato et al. (2024)","A physically consistent AI-based SPH emulator for computational fluid dynamics","Published peer-reviewed journal article",https://doi.org/10.1515/nleng-2022-0359,Introduction,"AI-based SPH emulation and learned particle interactions exist.","Does not support SPH-DDO H1-H6 outcomes or identifiability.",VERIFIED_CONTEXT_ONLY
R13,"Bar-Sinai et al. (2019)","Learning data-driven discretizations for partial differential equations","Published peer-reviewed journal article",https://doi.org/10.1073/pnas.1814058116,Introduction,"Data-dependent PDE discretizations can be learned from known solutions.","Does not establish pre-training identifiability of an SPH defect.",VERIFIED_CONTEXT_ONLY
R08,"Bellman and Åström (1970)","On structural identifiability","Published peer-reviewed journal article",https://doi.org/10.1016/0025-5564%2870%2990132-X,Discussion,"Identifiability concerns recovery from specified input-output measurements.","Does not prove universal non-identifiability of the tested SPH mappings.",VERIFIED_CONTEXT_ONLY
R16,"Duraisamy (2021)","Perspectives on machine learning-augmented Reynolds-averaged and large eddy simulation models of turbulence","Published peer-reviewed review/Perspective",https://doi.org/10.1103/PhysRevFluids.6.050504,"Introduction; Discussion","ML augmentation can face identifiability and numerical/model-error separation problems.","Does not implement the present componentwise prospective SPH gate.",VERIFIED_CONTEXT_ONLY
R11,"Ioannidis (2022)","Pre-registration of mathematical models","Published journal Perspective",https://doi.org/10.1016/j.mbs.2022.108782,Discussion,"Prospective protocols can make planned analyses and later deviations transparent.","Does not certify SPH-DDO or mandate its hierarchy.",VERIFIED_CONTEXT_ONLY
R18,"Katz and John (2026)","On Limitations of Several Approaches for Correcting Coarse Flow Simulations With Machine Learning Techniques","Published peer-reviewed original journal article",https://doi.org/10.1002/zamm.70373,"Introduction; Discussion","Several trained coarse-flow correction networks can fail held-out validation.","Does not attribute those failures to SPH observable non-identifiability.",VERIFIED_CONTEXT_ONLY
R15,"Kiener et al. (2023)","Data-driven correction of coarse grid CFD simulations","Published peer-reviewed journal article",https://doi.org/10.1016/j.compfluid.2023.105971,"Introduction; Discussion","Vertexwise coarse-to-fine CFD discretization error has been learned using supervised models.","Does not report a prospective pre-training identifiability gate.",VERIFIED_CONTEXT_ONLY
R03,"Litvinov et al. (2015)","Towards consistence and convergence of conservative SPH approximations","Published peer-reviewed journal article",https://doi.org/10.1016/j.jcp.2015.08.041,Introduction,"SPH consistency and convergence depend on particle approximation and disorder.","Does not validate the frozen SPH-DDO operators or results.",VERIFIED_CONTEXT_ONLY
R17,"Qarariyah et al. (2025)","An Intelligent SPH Framework Based on Machine-Learned Residual Correction for Elliptic PDEs","Published peer-reviewed journal article",https://doi.org/10.3390/a18120803,"Introduction; Discussion","Learned residual correction has been coupled to an SPH discretization.","Does not test the three frozen dynamic components or an upstream gate.",VERIFIED_CONTEXT_ONLY
R01,"Quinlan et al. (2006)","Truncation error in mesh-free particle methods","Published peer-reviewed journal article",https://doi.org/10.1002/nme.1617,Introduction,"Mesh-free derivative error depends on resolution, support choices, and particle nonuniformity.","Does not support project-specific H1-H3 metrics.",VERIFIED_CONTEXT_ONLY
R12,"Sandve et al. (2013)","Ten Simple Rules for Reproducible Computational Research","Published journal Editorial and guidance article",https://doi.org/10.1371/journal.pcbi.1003285,Discussion,"Reproducible computational research requires recorded workflows, inputs, parameters, and software details.","Does not independently reproduce or certify SPH-DDO.",VERIFIED_CONTEXT_ONLY
R10,"Satorras et al. (2021)","E(n) Equivariant Graph Neural Networks","Published peer-reviewed conference paper",https://proceedings.mlr.press/v139/satorras21a.html,"Methods; Discussion","Geometric graph representations can enforce E(n) and permutation equivariance.","Does not validate the tested directional frame or imply EGNN success or failure.",VERIFIED_CONTEXT_ONLY
R02,"Sigalotti et al. (2016)","On the kernel and particle consistency in smoothed particle hydrodynamics","Published peer-reviewed journal article",https://doi.org/10.1016/j.apnum.2016.05.007,Introduction,"SPH consistency separates kernel and particle approximation effects.","Does not establish the frozen scaling or identifiability results.",VERIFIED_CONTEXT_ONLY
R09,"Stuart (2010)","Inverse problems: A Bayesian perspective","Published peer-reviewed research review article",https://doi.org/10.1017/S0962492910000061,Discussion,"Inverse problems may be ill posed or nonunique and require uncertainty-aware interpretation.","Does not turn empirical ambiguity into an impossibility theorem.",VERIFIED_CONTEXT_ONLY
R04,"Um et al. (2020)","Solver-in-the-Loop: Learning from Differentiable Physics to Interact with Iterative PDE-Solvers","Published peer-reviewed conference paper",https://proceedings.neurips.cc/paper/2020/hash/43e4e6a6f341e00671e123714de019a8-Abstract.html,Introduction,"Learned correction functions can be trained through interaction with differentiable PDE solvers.","Does not imply solver-in-loop training occurred in SPH-DDO.",VERIFIED_CONTEXT_ONLY
R07,"Winchenbach and Thuerey (2026)","diffSPH: Differentiable smoothed particle hydrodynamics for hybrid machine learning solutions in fluid mechanics","Published peer-reviewed journal article",https://doi.org/10.1016/j.jcp.2026.114769,"Introduction; Discussion","Differentiable SPH supports inverse, optimization, hybrid-network, and solver-in-loop applications.","Does not test the present pre-learning target-observable gate.",VERIFIED_CONTEXT_ONLY
R05,"Woodward et al. (2023)","Physics-informed machine learning with smoothed particle hydrodynamics: Hierarchy of reduced Lagrangian models of turbulence","Published peer-reviewed journal article",https://doi.org/10.1103/PhysRevFluids.8.054602,Introduction,"Parameterized SPH and neural Lagrangian models can be trained with imposed physical invariances.","Does not evaluate the frozen SPH-DDO defects or gates.",VERIFIED_CONTEXT_ONLY
