reader_order,claim_id,section,paragraph_sha256,paragraph_text,evidence_artifact,evidence_sha256,scientific_status,permitted_wording,prohibited_extrapolation,verified_reference_ids
1,ABSTRACT-P01,Abstract,7e770b30ae69231da2118deecc10442820241e619c4843fd9376f21df1ae3d23,"Learned numerical corrections are useful only when the correction target is sufficiently determined by information available during deployment. We examined this requirement for a fixed-time smoothed particle hydrodynamics (SPH) spatial discretization defect. The defect was defined as the sampled analytical continuum operator minus the corresponding low-cost SPH operator, without time-integration or rollout error. Analytical references and numerical uncertainty were qualified before testing signal resolvability, controlled scaling, and observable identifiability. A mechanism-stratified development atlas contained 512 manufactured-field cases, and a redesigned observable set was evaluated on 384 entirely fresh cases.",00_project_contract/ddo_project_charter.md;06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;data/identifiability/ddo01e_metrics.json;06_manifests/ca06_manifest.json;data/ddo02b_identifiability/ddo02b_metrics.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582,FROZEN_SYNTHESIS,State the pre-learning question and the prospective qualification sequence.,"Do not imply that neural training, temporal prediction, or solver-in-loop evaluation occurred.",
2,ABSTRACT-P02,Abstract,e225a0ef4df3f9f70679e4ce2a22abe123ff75c42032c4242eaed854becb7997,"All five evaluated defect components were resolved above the qualified float64 uncertainty floor. Scaling was component- and disorder-dependent: density rate retained systematic scaling in regular and tested-disorder scopes, whereas pressure-gradient and viscosity-Laplacian accelerations qualified only in the regular scope. On fresh evidence, the pressure nearest-neighbour disagreement 90th percentile was 45.54, while the density-rate diagnostic oracle normalized root-mean-square error was 0.548. All three primary dynamic mappings failed the preregistered identifiability criteria after observable redesign. Locality was therefore not interpreted, and no representation-learning or neural-correction stage was initiated. These results show that a resolvable and systematically scaling SPH defect need not satisfy identifiability from the tested deployment-compatible instantaneous observables.",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;data/identifiability/ddo01e_formal_verdicts.json;data/ddo02b_identifiability/ddo02b_metrics.json;06_manifests/ddo02b_manifest.json;06_manifests/ddo02z_final_status_ledger.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_CORE_CONCLUSION,Use the exact route-specific conclusion and state why training was not performed.,"Do not claim fundamental unlearnability, neural failure, global H4 failure, or H5/H6 failure.",
3,INTRO-P01,1. Introduction,924a7285162a612dfde48c3a881541242eb05758ad489689daa5ab0065dfd7cc,"Smoothed particle hydrodynamics represents continuum fields through kernel-weighted interactions among moving particles. Its spatial approximations therefore depend on resolution, kernel support, particle consistency, and local particle arrangement. Truncation and consistency analyses have shown that these factors interact, particularly when particle distributions depart from regular configurations (Quinlan et al., 2006; Litvinov et al., 2015; Sigalotti et al., 2016). Spatial discretization defects should consequently be treated as operator- and component-specific quantities rather than as a single scalar measure of SPH accuracy.",publication/literature/verified_reference_register.csv;publication/literature/citation_claim_map.csv,6d33739d36d1ef7d27d2c9c375d8478eacf6fabf72c1a09cf53b832281589cb2;ee11699c64ce05fe80719f01baf494d672d892f8b45dbe5c107fe3e769ce388c,VERIFIED_EXTERNAL_LITERATURE_CONTEXT,Retain only as literature-supported background after citation verification.,Do not present this paragraph as project evidence or claim universal behavior for all SPH formulations.,R01;R02;R03
4,INTRO-P02,1. Introduction,3182ed4ed9bc04e86c20cfb2f73a5e64aa819db6dc85803217352b4013c4ccbc,"Machine learning has been used to construct data-driven discretizations and correct iterative partial differential equation solvers (Bar-Sinai et al., 2019; Um et al., 2020). It has also parameterized Lagrangian particle models (Woodward et al., 2023). AI-based SPH emulators demonstrate that particle interactions can be optimized from data (Amato et al., 2024). Differentiable SPH frameworks support inverse problems and hybrid solver-network systems (Winchenbach and Thuerey, 2026). These advances establish learned numerical correction and learned SPH as active research areas. They do not determine whether a specified correction target is recoverable from observables retained at deployment.",publication/literature/verified_reference_register.csv;publication/literature/citation_claim_map.csv,6d33739d36d1ef7d27d2c9c375d8478eacf6fabf72c1a09cf53b832281589cb2;ee11699c64ce05fe80719f01baf494d672d892f8b45dbe5c107fe3e769ce388c,VERIFIED_EXTERNAL_LITERATURE_CONTEXT,Use as motivation for an upstream observability test once suitable literature is supplied.,Do not imply that any neural architecture was evaluated in SPH-DDO.,R04;R05;R06;R07;R13
5,INTRO-P03,1. Introduction,f66833d08053dc0d011644698ed4f7d1cacf887f74c716724d0fda9c99be1810,"Several close studies delimit the contribution considered here. Kiener et al. (2023) learned vertexwise coarse-to-fine computational fluid dynamics discretization errors, while Qarariyah et al. (2025) coupled residual learning to an SPH discretization. Duraisamy (2021) identified non-uniqueness and numerical-model error confounding as concerns for machine-learning-augmented turbulence models. More recently, Katz and John (2026) reported unsuccessful validation after training several coarse-flow correction networks. Thus, discretization-error learning, SPH correction, identifiability concerns, and negative post-training correction results each have clear precedents. The unresolved issue is their ordering within a prospective qualification workflow.",00_project_contract/ddo_project_charter.md;publication/literature/citation_claim_map.csv;publication/literature/verified_reference_register.csv;publication/literature/novelty_stress_test.md,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;ee11699c64ce05fe80719f01baf494d672d892f8b45dbe5c107fe3e769ce388c;6d33739d36d1ef7d27d2c9c375d8478eacf6fabf72c1a09cf53b832281589cb2;e3411f08de11b7e0fc2fc2a30be92299c11dc6f16db0d241f7da11bb34cdc49c,FROZEN_PROJECT_LOGIC_WITH_VERIFIED_EXTERNAL_CONTEXT_WITH_VERIFIED_LITERATURE_POSITIONING,"Separate H1, H2, and H3 as distinct questions.",Do not turn the empirical diagnostics into a general inverse-problem theorem.,R15;R16;R17;R18
6,INTRO-P04,1. Introduction,c9112613254f6c7fb0dcc2ac54c07c1e344738135d9c3762bbbe7d32b20e4740,"A correction target can be large relative to numerical uncertainty and can vary systematically with discretization parameters, yet remain conditionally ambiguous for the available input. Model fitting cannot by itself separate information deficiency from architectural or optimization limitations. We therefore ask whether a componentwise, fixed-time SPH spatial defect is sufficiently determined by deployment-compatible instantaneous observables before selecting a neural architecture. The study separates signal magnitude, controlled scaling, and observable identifiability as independent empirical questions.",00_project_contract/ddo_project_charter.md;06_manifests/ddo02z_final_status_ledger.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_PROJECT_SCOPE,Present the scientific logic and terminal boundary.,"Do not describe the work as an architecture comparison, a trained correction method, or SPH-PIO continuation.",
7,DISC-P07,1. Introduction,bdce2181718cc6035496208f84237ae5d4721b89204848d0cdb89f36f21c033b,"Within the documented targeted search, we did not locate a peer-reviewed study that applied this complete componentwise pre-learning identifiability gate to an SPH spatial discretization-defect target. We also did not locate one that withheld neural training after a prospectively frozen gate failed. This search-bounded position is not a claim of priority across all inverse problems or learned simulators. The present study is also distinct from any separate trained conservative-correction route, whose optimizer, stability, and support evidence would require an independent manuscript and evidence chain.",publication/cross_paper_relation_memo.md;publication/literature/verified_reference_register.csv;publication/literature/novelty_stress_test.md,7a5681c710e5a899f14cb5df66e8d41cdd9ab5d094f96823239ecab7579537aa;6d33739d36d1ef7d27d2c9c375d8478eacf6fabf72c1a09cf53b832281589cb2;e3411f08de11b7e0fc2fc2a30be92299c11dc6f16db0d241f7da11bb34cdc49c,FROZEN_PUBLICATION_BOUNDARY_WITH_VERIFIED_LITERATURE_POSITIONING,State the distinct questions and non-overlap rule.,Do not merge the manuscripts or import SPH-PIO training results into SPH-DDO.,
8,FORM-P04,1. Introduction,7b72a59738f178e5cbea0ea3af75bb5d46e8dc74c85acad4974f213142c68933,"The study makes four contributions. First, it defines and numerically qualifies an analytical fixed-time SPH defect with a strict observable-reference firewall. Second, it distinguishes signal resolvability (H1) from controlled scaling (H2) and observable identifiability (H3). Third, it applies non-neural conditional-ambiguity diagnostics to a balanced development atlas, followed by a prospectively fixed observable redesign and fresh requalification. Fourth, it enforces the hierarchy beyond H3: locality (H4) is interpreted only after identifiability, while representation learning (H5) and generalization (H6) require the preceding stages. This hierarchy prevents downstream model evidence from being inferred when an upstream requirement is absent.",00_project_contract/ddo_project_charter.md;publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_HYPOTHESIS_GOVERNANCE,Use the exact final status vocabulary.,Do not collapse NOT_QUALIFIED or NOT_AUTHORIZED into FAIL.,
9,FORM-P01,2.1 Spatial discretization-defect formulation,abba08c999cdbbc910a878473b073cb5e3afa3f21b8889221530def9321215f7,"Let \(q^*(\mathbf{x})\) denote a smooth manufactured continuum state, and let \(\mathcal{L}\) denote the continuum spatial operator. The maps \(\mathcal{R}_h\) and \(\mathcal{L}_h\) denote particle sampling and the corresponding SPH semi-discrete operator. The fixed-time spatial defect was defined as \(d_h^*=\mathcal{R}_h\mathcal{L}(q^*)-\mathcal{L}_h(\mathcal{R}_h q^*)\). This positive-additive sign convention means that adding \(d_h^*\) recovers the sampled continuum operator within qualified numerical uncertainty. The target excludes time integration, next-state prediction, and rollout error.",00_project_contract/ddo_project_charter.md;02_defect_definitions/spatial_defect_definition.md,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;f986d2e8adbfa5ee65d2c06dff7c3b372f23bcfe075646a009347de07902ab8e,FROZEN_DEFINITION,Use the frozen fixed-time defect equation and positive-additive sign convention.,"Do not include time-integration, next-state, rollout, or division-by-dt error in the target.",
10,FORM-P03,2.1 Spatial discretization-defect formulation,e3cc867f2f318dbfc2c8c8bda9322599b1a42e75366092d11448f074c03de710,"Analytical and manufactured quantities were used only to construct and audit reference targets. Deployment descriptors, neighbourhood construction, normalization, routing, and diagnostic inputs could not use reference-minus-low-cost quantities or equivalent target-derived proxies. Observable and reference fields were stored separately, and the separation was audited before each identifiability assessment. This one-way information firewall ensured that the target definition could not leak into the candidate deployment inputs.",00_project_contract/ddo_project_charter.md;data/identifiability/ddo01e_firewall_audit.json;data/ddo02b_identifiability/ddo02b_observable_feature_schema.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;5e32db365620c8d8d621d3ccabc502aaffe1f83bda542e533541daf235e20d8b;3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5,FROZEN_FIREWALL,State the strict separation of deployable inputs and reference targets.,Do not equate reference-free with deployment-observable or imply that manufactured metadata is automatically deployable.,
