claim_id,section,paragraph_purpose,claim_text_summary,evidence_artifact,evidence_sha256,scientific_status,permitted_wording,prohibited_extrapolation,citation_need_ids
ABSTRACT-P01,Abstract,Question and design,Learned corrections are meaningful only if the correction target is inferable from information available at deployment. Here we ask whether a fixed-time smoothed particle hydrodynamics (SPH) spatial discretization defect can be identified from low-cost instant,00_project_contract/ddo_project_charter.md;06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;data/identifiability/ddo01e_metrics.json;06_manifests/ca06_manifest.json;data/ddo02b_identifiability/ddo02b_metrics.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582,FROZEN_SYNTHESIS,State the pre-learning question and the prospective qualification sequence.,"Do not imply that neural training, temporal prediction, or solver-in-loop evaluation occurred.",
ABSTRACT-P02,Abstract,Principal result,"All frozen defect components were resolvable above qualified float64 numerical and reference uncertainty, while spatial scaling was component- and disorder-dependent. The first deployable representation failed H3, and a prospectively expanded representation ag",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;data/identifiability/ddo01e_formal_verdicts.json;data/ddo02b_identifiability/ddo02b_metrics.json;06_manifests/ddo02b_manifest.json;06_manifests/ddo02z_final_status_ledger.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_CORE_CONCLUSION,Use the exact route-specific conclusion and state why training was not performed.,"Do not claim fundamental unlearnability, neural failure, global H4 failure, or H5/H6 failure.",
INTRO-P01,1. Introduction,SPH context,"SPH represents continuum fields on moving particles through compact-support kernel approximations, so its spatial operators depend on resolution, support, particle arrangement, and local consistency. These dependencies can produce component-specific spatial di",EXTERNAL_CITATION_NOT_YET_SELECTED,N/A,EXTERNAL_CONTEXT_PENDING_CITATION,Retain only as literature-supported background after citation verification.,Do not present this paragraph as project evidence or claim universal behavior for all SPH formulations.,C01
INTRO-P02,1. Introduction,Learning context,"Data-driven correction operators have been proposed as one route for compensating numerical error in particle and mesh-based solvers. However, architecture selection and optimization cannot resolve a more basic information question: whether the desired correct",EXTERNAL_CITATION_NOT_YET_SELECTED,N/A,EXTERNAL_CONTEXT_PENDING_CITATION,Use as motivation for an upstream observability test once suitable literature is supplied.,Do not imply that any neural architecture was evaluated in SPH-DDO.,C02
INTRO-P03,1. Introduction,Identifiability distinction,"A target may be large relative to numerical uncertainty and may vary systematically with discretization parameters, yet still be conditionally ambiguous given the observable input. This distinction motivates separate tests of signal, scaling, and identifiabili",00_project_contract/ddo_project_charter.md,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6,FROZEN_PROJECT_LOGIC_WITH_EXTERNAL_CONTEXT,"Separate H1, H2, and H3 as distinct questions.",Do not turn the empirical diagnostics into a general inverse-problem theorem.,C03
INTRO-P04,1. Introduction,Study objective and contribution,We therefore formulate SPH-DDO around the question: is the instantaneous spatial discretization defect of a low-cost SPH operator identifiable from deployment-compatible observables before a learned correction is introduced? The contribution is a prospective e,00_project_contract/ddo_project_charter.md;06_manifests/ddo02z_final_status_ledger.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_PROJECT_SCOPE,Present the scientific logic and terminal boundary.,"Do not describe the work as an architecture comparison, a trained correction method, or SPH-PIO continuation.",
FORM-P01,2. Spatial discretization-defect formulation and qualification hierarchy,Defect definition,"For a smooth manufactured continuum state q*(x), continuum spatial operator L, sampling map R_h, and corresponding SPH semi-discrete operator L_h, the fixed-time defect is defined as d_h* = R_h L(q*) - L_h(R_h q*). The sign convention is positive-additive: add",00_project_contract/ddo_project_charter.md;02_defect_definitions/spatial_defect_definition.md,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;f986d2e8adbfa5ee65d2c06dff7c3b372f23bcfe075646a009347de07902ab8e,FROZEN_DEFINITION,Use the frozen fixed-time defect equation and positive-additive sign convention.,"Do not include time-integration, next-state, rollout, or division-by-dt error in the target.",
FORM-P02,2. Spatial discretization-defect formulation and qualification hierarchy,Component roles,"The independently tested primary dynamic components are density rate, pressure-gradient acceleration, and viscosity-Laplacian acceleration. Total acceleration is retained only as the derived pressure-plus-viscosity closure diagnostic, while interpolation densi",02_defect_definitions/operator_decomposition.md;publication/final_hypothesis_ledger.csv,13c01a36aecfd977fa8d2666db0a1aa57c1bad53b1d1c768752ec207a1f4162b;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743,FROZEN_COMPONENT_ROLES,Distinguish primary mappings from derived and algebraic diagnostics.,Do not report total acceleration as an independently fitted H3 route or interpolation density as a primary dynamic target.,
FORM-P03,2. Spatial discretization-defect formulation and qualification hierarchy,Information firewall,"Analytical and manufactured information is used only to construct or audit targets. Candidate deployable descriptors, normalization, neighborhood construction, data routing, and diagnostic inputs are prohibited from using reference-minus-low-cost quantities or",00_project_contract/ddo_project_charter.md;data/identifiability/ddo01e_firewall_audit.json;data/ddo02b_identifiability/ddo02b_observable_feature_schema.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;5e32db365620c8d8d621d3ccabc502aaffe1f83bda542e533541daf235e20d8b;3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5,FROZEN_FIREWALL,State the strict separation of deployable inputs and reference targets.,Do not equate reference-free with deployment-observable or imply that manufactured metadata is automatically deployable.,
FORM-P04,2. Spatial discretization-defect formulation and qualification hierarchy,Hypothesis sequence,"The hierarchy tests H1 signal resolvability, H2 systematic scaling, H3 observable identifiability, H4 bounded locality conditional on H3, H5 structure-compatible representation conditional on upstream qualification, and H6 generalization. A downstream stage is",00_project_contract/ddo_project_charter.md;publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_HYPOTHESIS_GOVERNANCE,Use the exact final status vocabulary.,Do not collapse NOT_QUALIFIED or NOT_AUTHORIZED into FAIL.,
