experiment_id,project,stage,task,config_path,dataset_manifest,code_status,checkpoint_reference,evaluation_report,qualification_status,source_evidence,notes
DDO00,SPH-DDO-PoC,DDO00,Stage-level evidence index,,06_manifests/ddo00_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo00_next_stage_decision.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo00_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO01A,SPH-DDO-PoC,DDO01A,Stage-level evidence index,,06_manifests/ddo01ar_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo01ar_preflight_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo01ar_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO01AR,SPH-DDO-PoC,DDO01AR,Stage-level evidence index,,06_manifests/ddo01ar_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo01ar_preflight_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo01ar_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO01B,SPH-DDO-PoC,DDO01B,Stage-level evidence index,,06_manifests/ddo01br_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo01br_uncertainty_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo01br_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO01BR,SPH-DDO-PoC,DDO01BR,Stage-level evidence index,,06_manifests/ddo01br_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo01br_uncertainty_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo01br_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO01C,SPH-DDO-PoC,DDO01C,Stage-level evidence index,,06_manifests/ddo01c_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo01cr_relative_effect_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo01c_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO01CR,SPH-DDO-PoC,DDO01CR,Stage-level evidence index,,06_manifests/ddo01cr_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo01cr_relative_effect_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo01cr_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO01D,SPH-DDO-PoC,DDO01D,Stage-level evidence index,,06_manifests/ddo01d_case_registry.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo01d_component_role_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo01d_case_registry.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO01E,SPH-DDO-PoC,DDO01E,Stage-level evidence index,07_reports/ddo01e_figure_contract.md,06_manifests/ddo01e_particle_sample_registry.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo01e_family_stratified_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo01e_particle_sample_registry.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO02A,SPH-DDO-PoC,DDO02A,Stage-level evidence index,,06_manifests/ddo02a_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo02a_derivative_proxy_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo02a_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO02B,SPH-DDO-PoC,DDO02B,Stage-level evidence index,,06_manifests/ddo02b_diagnostic_partition.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo02b_firewall_audit.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo02b_diagnostic_partition.json,Current baseline commit must not be represented as the historical experiment-time code state.
DDO02Z,SPH-DDO-PoC,DDO02Z,Stage-level evidence index,,06_manifests/ddo02z_final_sha256.txt,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ddo02z_publication_decision.md,SEE_SOURCE_EVIDENCE,06_manifests/ddo02z_final_sha256.txt,Current baseline commit must not be represented as the historical experiment-time code state.
CA01,SPH-DDO-PoC,CA01,Stage-level evidence index,00_project_contract/amendments/ca01_numerical_qualification_contract.md,06_manifests/ca01_manifest.json,UNKNOWN_HISTORICAL_CODE_STATE,EXTERNAL_OR_NOT_APPLICABLE,07_reports/ca01_final_report.md,SEE_SOURCE_EVIDENCE,06_manifests/ca01_manifest.json,Current baseline commit must not be represented as the historical experiment-time code state.
