"table_id","row_id","row_content","claim_id","frozen_artifact","evidence_sha256","permitted_wording","prohibited_extrapolation"
"Table 1","interpolation_density","Interpolation density role","FORM-P02","02_defect_definitions/operator_decomposition.md;publication/final_hypothesis_ledger.csv","13c01a36aecfd977fa8d2666db0a1aa57c1bad53b1d1c768752ec207a1f4162b;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743","Distinguish primary mappings from derived and algebraic diagnostics.","Do not report total acceleration as an independently fitted H3 route or interpolation density as a primary dynamic target."
"Table 1","interpolation_density","Interpolation density H1","SIGNAL-P02","06_manifests/ddo01br_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875","Report componentwise H1 PASS and the frozen numerical range.","Do not infer scaling, identifiability, learnability, or deployment performance from H1."
"Table 1","interpolation_density","Interpolation density H2","SCALE-P04","06_manifests/ddo01cr_manifest.json;publication/final_hypothesis_ledger.csv","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743","State interpolation H2 failure and the componentwise H2 conclusion.","Do not infer that interpolation H2 failure forces H3 failure in another component."
"Table 1","interpolation_density","Downstream prerequisite states","CONC-P03","publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json","694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a","State the exact terminal and authorization vocabulary.","Do not state that H4, H5, H6, neural SPH, GNNs, or Transformers failed."
"Table 1","density_rate","Density-rate role","FORM-P02","02_defect_definitions/operator_decomposition.md;publication/final_hypothesis_ledger.csv","13c01a36aecfd977fa8d2666db0a1aa57c1bad53b1d1c768752ec207a1f4162b;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743","Distinguish primary mappings from derived and algebraic diagnostics.","Do not report total acceleration as an independently fitted H3 route or interpolation density as a primary dynamic target."
"Table 1","density_rate","Density-rate H1","SIGNAL-P02","06_manifests/ddo01br_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875","Report componentwise H1 PASS and the frozen numerical range.","Do not infer scaling, identifiability, learnability, or deployment performance from H1."
"Table 1","density_rate","Density-rate H2","SCALE-P02","06_manifests/ddo01cr_manifest.json","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Restrict density-rate scaling to the frozen F1 and canonical-support scope.","Do not extrapolate to all disorder types, support ratios, boundaries, or H3 identifiability."
"Table 1","density_rate","Density-rate fresh H3","REQUAL-P02","data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json","551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c","Report the exact density-rate failure metrics and distinguish H1/H2 from H3.","Do not use H1/H2 PASS to repair the H3 verdict."
"Table 1","density_rate","Downstream prerequisite states","CONC-P03","publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json","694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a","State the exact terminal and authorization vocabulary.","Do not state that H4, H5, H6, neural SPH, GNNs, or Transformers failed."
"Table 1","pressure_gradient_acceleration","Pressure-gradient role","FORM-P02","02_defect_definitions/operator_decomposition.md;publication/final_hypothesis_ledger.csv","13c01a36aecfd977fa8d2666db0a1aa57c1bad53b1d1c768752ec207a1f4162b;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743","Distinguish primary mappings from derived and algebraic diagnostics.","Do not report total acceleration as an independently fitted H3 route or interpolation density as a primary dynamic target."
"Table 1","pressure_gradient_acceleration","Pressure-gradient H1","SIGNAL-P02","06_manifests/ddo01br_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875","Report componentwise H1 PASS and the frozen numerical range.","Do not infer scaling, identifiability, learnability, or deployment performance from H1."
"Table 1","pressure_gradient_acceleration","Pressure-gradient H2","SCALE-P03","06_manifests/ddo01cr_manifest.json","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Use regular-scope-only wording for pressure, viscosity, and total acceleration.","Do not claim disorder-robust momentum scaling or a common component exponent."
