component,component_role,hypothesis,final_status,scope,interpretation,source_artifact,sha256
interpolation_density,ALGEBRAIC_DIAGNOSTIC,H1_SIGNAL,PASS,qualified DDO-01B-R excited-case scope,defect signal resolved above float64 numerical/reference uncertainty,06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
interpolation_density,ALGEBRAIC_DIAGNOSTIC,H2_SCALING,FAIL,regular F1 scaling scope; algebraic diagnostic,componentwise systematic spatial-defect scaling; not identifiability,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
interpolation_density,ALGEBRAIC_DIAGNOSTIC,H3_IDENTIFIABILITY,DIAGNOSTIC_FAIL_NOT_PRIMARY_ROUTE,algebraic diagnostic only,primary deployable-observable mapping failed only where independently tested,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
interpolation_density,ALGEBRAIC_DIAGNOSTIC,H4_LOCALITY,NOT_QUALIFIED,no locality qualification because independent H3 prerequisite was absent,not a global H4 failure,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
interpolation_density,ALGEBRAIC_DIAGNOSTIC,H5_REPRESENTATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
interpolation_density,ALGEBRAIC_DIAGNOSTIC,H6_GENERALIZATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
density_rate,PRIMARY_DYNAMIC,H1_SIGNAL,PASS,qualified DDO-01B-R excited-case scope,defect signal resolved above float64 numerical/reference uncertainty,06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
density_rate,PRIMARY_DYNAMIC,H2_SCALING,PASS,canonical h/dx=4 support including tested disorder,componentwise systematic spatial-defect scaling; not identifiability,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
density_rate,PRIMARY_DYNAMIC,H3_IDENTIFIABILITY,FAIL_AFTER_FRESH_REQUALIFICATION,CA-06 C3/L3 deployable observables; 384 fresh cases,primary deployable-observable mapping failed only where independently tested,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
density_rate,PRIMARY_DYNAMIC,H4_LOCALITY,NOT_QUALIFIED,no locality qualification because independent H3 prerequisite was absent,not a global H4 failure,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
density_rate,PRIMARY_DYNAMIC,H5_REPRESENTATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
density_rate,PRIMARY_DYNAMIC,H6_GENERALIZATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
pressure_gradient_acceleration,PRIMARY_DYNAMIC,H1_SIGNAL,PASS,qualified DDO-01B-R excited-case scope,defect signal resolved above float64 numerical/reference uncertainty,06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
pressure_gradient_acceleration,PRIMARY_DYNAMIC,H2_SCALING,PASS_REGULAR_SCOPE_ONLY,regular F1 scope only,componentwise systematic spatial-defect scaling; not identifiability,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
pressure_gradient_acceleration,PRIMARY_DYNAMIC,H3_IDENTIFIABILITY,FAIL_AFTER_FRESH_REQUALIFICATION,CA-06 C3/L3 deployable observables; 384 fresh cases,primary deployable-observable mapping failed only where independently tested,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
pressure_gradient_acceleration,PRIMARY_DYNAMIC,H4_LOCALITY,NOT_QUALIFIED,no locality qualification because independent H3 prerequisite was absent,not a global H4 failure,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
pressure_gradient_acceleration,PRIMARY_DYNAMIC,H5_REPRESENTATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
pressure_gradient_acceleration,PRIMARY_DYNAMIC,H6_GENERALIZATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
viscosity_laplacian_acceleration,PRIMARY_DYNAMIC,H1_SIGNAL,PASS,qualified DDO-01B-R excited-case scope,defect signal resolved above float64 numerical/reference uncertainty,06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
viscosity_laplacian_acceleration,PRIMARY_DYNAMIC,H2_SCALING,PASS_REGULAR_SCOPE_ONLY,regular F1 scope only,componentwise systematic spatial-defect scaling; not identifiability,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
viscosity_laplacian_acceleration,PRIMARY_DYNAMIC,H3_IDENTIFIABILITY,FAIL_AFTER_FRESH_REQUALIFICATION,CA-06 C3/L3 deployable observables; 384 fresh cases,primary deployable-observable mapping failed only where independently tested,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
viscosity_laplacian_acceleration,PRIMARY_DYNAMIC,H4_LOCALITY,NOT_QUALIFIED,no locality qualification because independent H3 prerequisite was absent,not a global H4 failure,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
viscosity_laplacian_acceleration,PRIMARY_DYNAMIC,H5_REPRESENTATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
viscosity_laplacian_acceleration,PRIMARY_DYNAMIC,H6_GENERALIZATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
total_acceleration,DERIVED_DIAGNOSTIC,H1_SIGNAL,PASS,qualified DDO-01B-R excited-case scope,defect signal resolved above float64 numerical/reference uncertainty,06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
total_acceleration,DERIVED_DIAGNOSTIC,H2_SCALING,PASS_REGULAR_SCOPE_ONLY,regular F1 scope only; derived diagnostic,componentwise systematic spatial-defect scaling; not identifiability,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
total_acceleration,DERIVED_DIAGNOSTIC,H3_IDENTIFIABILITY,NOT_INDEPENDENTLY_EVALUATED,derived pressure-plus-viscosity closure diagnostic,primary deployable-observable mapping failed only where independently tested,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
total_acceleration,DERIVED_DIAGNOSTIC,H4_LOCALITY,NOT_APPLICABLE_DERIVED_DIAGNOSTIC,no locality qualification because independent H3 prerequisite was absent,not a global H4 failure,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
total_acceleration,DERIVED_DIAGNOSTIC,H5_REPRESENTATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
total_acceleration,DERIVED_DIAGNOSTIC,H6_GENERALIZATION,NOT_AUTHORIZED,project route closed upstream at H3,not evaluated and not failed,06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
