path,size_bytes,size_MB,extension,mtime,candidate_category,recommended_action,reason
data/ddo02b_identifiability/ddo02b_observable_feature_cache.npz,28251337,28.251,.npz,2026-08-11T10:28:38+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/identifiability/ddo01e_non_neural_diagnostics.csv,25145317,25.145,.csv,2026-08-11T02:07:03+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/identifiability/ddo01e_observable_feature_cache.npz,18375476,18.375,.npz,2026-08-11T00:48:04+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_identifiability/ddo02b_non_neural_diagnostics.csv,8300688,8.301,.csv,2026-08-11T11:03:45+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/atlas/observable_cases/case_0463.npz,6230471,6.230,.npz,2026-08-11T00:13:38+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0462.npz,6129420,6.129,.npz,2026-08-11T00:13:36+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0461.npz,6082444,6.082,.npz,2026-08-11T00:13:34+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/ddo01d_case_metadata.json,6070991,6.071,.json,2026-08-11T00:13:59+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/ddo02b_atlas/observable_cases/case_0335.npz,5342431,5.342,.npz,2026-08-11T10:18:31+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0511.npz,5341076,5.341,.npz,2026-08-11T00:13:59+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0510.npz,5208796,5.209,.npz,2026-08-11T00:13:58+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0334.npz,5207245,5.207,.npz,2026-08-11T10:18:30+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0509.npz,5124417,5.124,.npz,2026-08-11T00:13:57+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0333.npz,5116969,5.117,.npz,2026-08-11T10:18:28+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/ddo02b_case_metadata.json,4570243,4.570,.json,2026-08-11T10:18:42+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/atlas/ddo01d_case_checkpoint.jsonl,4567931,4.568,.jsonl,2026-08-11T00:13:59+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/pilot_f1/ddo01br_f1_pilot_reference_targets.csv,4355496,4.355,.csv,2026-08-10T22:46:16+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/atlas/observable_cases/case_0459.npz,4150984,4.151,.npz,2026-08-11T00:13:31+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0458.npz,4079028,4.079,.npz,2026-08-11T00:13:30+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0457.npz,4046001,4.046,.npz,2026-08-11T00:13:28+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/pilot_f1/ddo01br_f1_pilot_metadata.csv,3636606,3.637,.csv,2026-08-10T22:46:16+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/ddo02b_atlas/observable_cases/case_0331.npz,3590892,3.591,.npz,2026-08-11T10:18:27+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0507.npz,3590773,3.591,.npz,2026-08-11T00:13:55+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/pilot_f1/ddo01br_f1_pilot_observables.csv,3568412,3.568,.csv,2026-08-10T22:46:16+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/atlas/observable_cases/case_0506.npz,3499637,3.500,.npz,2026-08-11T00:13:54+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0330.npz,3497078,3.497,.npz,2026-08-11T10:18:25+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/ddo02b_case_checkpoint.jsonl,3444562,3.445,.jsonl,2026-08-11T10:18:42+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/atlas/observable_cases/case_0505.npz,3442424,3.442,.npz,2026-08-11T00:13:53+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0329.npz,3441330,3.441,.npz,2026-08-11T10:18:24+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/scaling_f1/ddo01cr_scaling_evidence.json,3187312,3.187,.json,2026-08-10T23:41:31+08:00,D,EXTERNAL_DATA,dataset or trajectory payload; retain on disk and index by manifest
data/atlas/observable_cases/case_0399.npz,2982017,2.982,.npz,2026-08-11T00:13:09+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0398.npz,2905749,2.906,.npz,2026-08-11T00:13:08+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0397.npz,2853835,2.854,.npz,2026-08-11T00:13:07+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0455.npz,2655300,2.655,.npz,2026-08-11T00:13:26+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0454.npz,2638493,2.638,.npz,2026-08-11T00:13:24+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0453.npz,2622051,2.622,.npz,2026-08-11T00:13:23+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0101.npz,2542902,2.543,.npz,2026-08-11T10:17:40+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0327.npz,2339700,2.340,.npz,2026-08-11T10:18:23+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0503.npz,2336651,2.337,.npz,2026-08-11T00:13:52+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0502.npz,2306884,2.307,.npz,2026-08-11T00:13:52+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0326.npz,2306251,2.306,.npz,2026-08-11T10:18:22+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0479.npz,2290890,2.291,.npz,2026-08-11T00:13:48+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0383.npz,2288938,2.289,.npz,2026-08-11T10:18:42+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0501.npz,2276887,2.277,.npz,2026-08-11T00:13:51+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0325.npz,2276534,2.277,.npz,2026-08-11T10:18:21+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0478.npz,2251460,2.251,.npz,2026-08-11T00:13:47+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0382.npz,2244763,2.245,.npz,2026-08-11T10:18:42+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0477.npz,2224590,2.225,.npz,2026-08-11T00:13:46+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/ddo02b_atlas/observable_cases/case_0381.npz,2220156,2.220,.npz,2026-08-11T10:18:41+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0239.npz,2190610,2.191,.npz,2026-08-11T00:12:30+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0139.npz,2186714,2.187,.npz,2026-08-11T00:12:09+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0156.npz,2170691,2.171,.npz,2026-08-11T00:12:14+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0219.npz,2169404,2.169,.npz,2026-08-11T00:12:25+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/identifiability/ddo01e_reference_target_cache.npz,2014077,2.014,.npz,2026-08-11T00:53:23+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
data/atlas/observable_cases/case_0395.npz,2010870,2.011,.npz,2026-08-11T00:13:06+08:00,D,EXTERNAL_DATA_OR_CHECKPOINT,large/generated numerical or model payload
